,-sC66z4SO3tR7nFCjfQwuQ,FURgKkRFtMK5yKbjYZVVwA,0db71MbrvcJnyk71COCJBg,lVkDZZ8sTafPlq7f1i5row,XkNQVTkCEzBrq7OlRHI11Q,wNsmt1hF1uv3YvbwXZMAoQ,DcrM4hwDcU2G6vuh2cnaYQ,asebFFgabg_lfoNpGJHZlQ,0vzZ_Bcb02rJljeMU9XkBw,1NZLxU5WvB5roPFzneAlLw,EmlgWjs1ZzZEpDjZCSPLmw,w19cemjVR8u02PgjFpJ7Mw,FqzgT9Y-Yu7jiWdHnGW-kQ,cN6aBxe2mQvrQlzk26LyRQ,qjmCVYkwP-HDa35jwYucbQ,Zy2vca7i9QFGRKa4m0C__A,h6jfMpTZpNduLG0wE2tbaw,3n9mSKySEv3G03YjcU-YOQ,3l72FflaaeI0tWEAWN3-gQ,TnkxapUN4nWMz_z5h3qMYg,D1T1jtCfTfXD-cQE3QViow,G9LwkTSdKOyOGqd5BbuIkA,ML1RJdeZ7bbfMrHvJ7m99A,FY_OXEVcewAQFZuu6fynLA,KBG28p3lGX17hOPoHhq5PQ,wl51t6lT7leiX64SlkOx6g,OdD1GuGNQ64ssJmMJ_D9RQ,r-a-Cn9hxdEnYTtVTB5bMQ,mQfT3JYu18HN22DVylcE7A,k8JnZBspVOI8kLcQek-Chw,9ziO3NpoNTKHvIKCBFB_fQ,Y-9dJvw-J2d9QKfuL7mKgA,DDnmNTvIIQu2t3WZ2EQx-w,45puCRQ6Vh_IIAy7kkfFDQ,MXOdsPTLQPsQK9hUq01DWg,wZwZcte4lcbu51NOzCjWbQ,VY_tvNUCCXGXQeSvJl757Q,pwpl-rxwNRQdgqFz_-qMPg,zp713qNhx8d9KCJJnrw1xA,_FXql6eVhbM923RdCi94SA,cp39VURFby4A6u9m2It8jg,xs1LHeJy78u-7taSEnQ2Yw,xHI3saK0sAJEHeMK4IGVvg,yYbd9P1KmlPSKmQxo68n_g,FUI-hWH_bpis7AKZTWenUQ,SDwYQ6eSu1htn8vHWv128g,yJr24Yy1K6bt2G9fX3_zPA,wNUea3IXZWD63bbOQaOH-g,XU5Fb3TosXDUJcNRWQM5cA,cLojUtqkFpVIHFEvA_5Atw,pfTwzep_4hRTX_jXoi38cw,7SO_rX1F6rQEl-5s3wZxgQ,K8pM6qQdYu5h6buRE1-_sw,KBKDl08flVw1AqvM5ucVpA,nlFlIeziD-4nNUF2B337Yw,muCl5p-9ut1sY0aKeUeRhw,bzDs0u8I-z231QVdIQWkrA,qlrZzAktK8wODSHxhLEK7w,M6fjHpkL9IRI-nI0BattRw,cVejKU_SrdbvzIbQ4oPV0A,rZbHg4ACfN3iShdsT47WKQ,nMHhuYan8e3cONo3PornJA,iNvY0zAlaD_ye7Z6rHu-Ug,nts2OALwvyvfNh9focRZ3w,YldXB1hRpnE1CWLF3mvgpQ,8cL7aJVKTYmLguzXEAS3Lw,VpW40mznMS43CqdbelX2wA,VVeogjZya58oiTxK7qUjAQ,zMa6YoEekpABg1HZnnTZdg,oJpmYvLibGrYPDvcaUeMOw,OFBJtqWGSx6n6CchtVmoRw,AaKlegu7gmOCD4rEESF76Q,jtzhY-P4H6WSYpv5rWhxtw,Tt6DYs0TyERWHWW5xiRL_A,fP-BPL6iRu2tbcvlnjRshw,lVHtVCyFJOqAH0ltn7pLuw,c0RSs2KYK5Y-ZlSrNq9LyA,5kRug3bEienrpovtPRVVwg,PwxvN0SnAGPdqXdNEYVT3g,F8q_9PUl-Lwjj9xIRPArcg,XHr5mXFgobOHoxbPJxmYdg,WS1z1OAR0tRl4FsjdTGUFQ,mqQwChPNN4o4DhAzaGntIA,ntN85eu27C04nwyPa8IHtw,3oZcTGb_oDHGwZFiP-7kxQ,vvMR0jgDoBA-g1XgZy8sEg,9BJ5h9X1krpXFjKj0a6wbg,5ambRqdTJt9vGwFzVI9HBw,-h-q6zTIdPlkz9BDP11sBg,OllL0G9Kh_k1lx-2vrFDXQ,R6aazv8FB-6BeanY3ag8kw,MLcXtnpzygZvQ9BtseLLlw,DlCtdbceo4YNSI53cCL2lg,I4bSn5gXsHuSPu7L-d_8nQ,zmFc8M-hS4uuyY0hklIpoQ,e34tIpveepWkpvOuv_boqw,hfl62LX14YqNpG0g0Tj6_Q,V1nEpIRmEa1768oj_tuxeQ,R8VwdLyvsp9iybNqRvm94g,oCA2OZcd_Jo_ggVmUx3WVw,KPoTixdjoJxSqRSEApSAGg,Zx8_4zKdDBSO3qGrkukBIA,18TUn9oiW0k0yB6lheiOvw,AkOruz5CrCxUmXe1p_WoRg,wN_wAXWg8W94v04eqijy6g,9yKzy9PApeiPPOUJEtnvkg,d52zg-S0o940WUCK-nNiKw,XWvht_1ZLdK7EHJ3jo4q0g,q1nDSpmV-FdTBNj6UuZvTg,1M4oczf2lmkdgbrJ3J7OqA,EWMwV5V9BxNs_U6nNVMeqw,rDvz5jX65gpfONFu7er9Tw,soiGohHtWOltGeomkSxzEw,-3WVw1TNQbPBzaKCaQQ1AQ,TuCAYZ89lP_s6D7Y78xNhQ,Pfb6VOIiroqDWOebfgWGPQ,Xq9tkiHhyN_aBFswFeGLvA,LzpR_jE6VIutJ08s2cdRrw,rQ4z0EStSZE4acgkne6Hmg,5-X03Zc0nN7U5eoe8uFUdw,TfTlOE6h9E9o34dEkw9L_w,PmPOuRvuN3CoNOi1nBj_TQ,24qSrF_XOrvaHDBy-gLIQg,fVgrpVyp-nPLTac9YIjTug,uKSX1n1RoAzGq4bV8GPHVg,3GAPcBG8SowgrpS6UHlDeQ,IVc23uY-36WUNYoIbz42Fg,yc5AH9H71xJidA_J2mChLA,Pg8OPh1D2ws0xO-I-8ppoA,-AAig9FG0s8gYE4f8GfowQ,yVQiGdxmnrkJDyQXv2maNA,FeI75xIG8PF_XZ6P80gLBQ,oyzxIqrtzu-8sWlPhJVsLw,L_MtTn4IUBTmQtqqM2iFqA,-gefwOTDqW9HWGDvWBPSMQ
6PHSvn_G2Bh5ZEVT6mMwaA,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
0YpnsQKra7VrzxaiYIvuMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,5,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7tA04v45dzG8tADZGLrCzA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
LWXaZxOvcVA5l-n6HxEKBw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VgjgoQDmWTDXrWj3MqJRRw,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
9GlPdCzNp8WsAyiOxmf2Qg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AkLRwgw9ljUqXWyBNzpqXQ,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1F5G7Tdo14xzsGyISkHDvQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
r-Won07YVdp6iyOGhQPl3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4g0BSDfFUUPuDpJcdeqmAw,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,5,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
sfKMl7ERKuwxIh3HLXUg-Q,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
utvgWVQlAgxaOuc8SRhGtQ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7DKYB_bB4B9LwAlIeWsLQ,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
ED8rq4vqflssrXbigIhgOQ,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X8pfLhF0LABJ5LNeuowCKA,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMeHMtwNigD0XK2kNo9APA,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lra1XesEQl1kA3bEPLRiPg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSKV9gfn9ZkeYRlPWZvAOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
fljbCXTM6t1xWG1YAnZYiA,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yLFeXMge7WF9RmGvROZOGw,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eBwBjylS66qPcHs2_ajLag,4,5,,,1,,,,,,,,3,,5,,,4,,2,,,,,,,3,,,,2,,,,,,,,,,,4,5,,2,,,,,4,,,,,,2,,,,,,,,,,,,3,,,4,4,,,,,,,4,,,,,4,,,,4,,,,,,,5,5,,5,,,,,,,,,,,,,4,,,,,,3,,,,3,,,,3,,2,,,,,3,,,
mqueHx5CFC9IsZxLQb3H9g,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KK_2vxqNug1wQhVo22soQw,,,,,,4,,,,,,,2,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,3,,,1,,,,,,,,,,,4,4,,,,,,,,,,
LFX_ZoSJLvg3K_Q1rCiF9A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XBHJCDzNh--mBhJkzyM_iA,2,4,,,5,,5,4,4,,3,4,4,,,,2,4,,,,,,,5,,,,,,3,,,,4,,,5,,,,,,5,4,,,,,,,,,,,,5,,,,,,,,,,,,4,,5,4,,,,,4,3,,,,,,4,,,,,,,,,2,,,,,,,,,,5,5,,,,,,,5,,,4,,,5,4,4,,,,,,,,4,,,,,,4,,
8LAf67lQTjtsS98E55MYrg,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,4,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,,,,2,,,,,,,,,,
Odoe2LqAPrV0TjdXxkP7Mg,,4,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,2,,,,,
V2dNkzZOk61E-ChEOwDlxA,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,5,,,,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,,
fPHLPrymsyb6WSFFKoMrTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3yJlrc2QIHpkyCRV-OsbGQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPNFtwa6OGZcMJoB6b90iQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
