,user_mean
1IRyTTXa__KRxhxnz8fS5w,3.09
oJTwHtNlipl1iqaFV7HHZA,3.69
vUBWg3dXVCDWvbGwWLrpbw,3.54
XzPiMSaKyrBD9-WxzzfZIQ,4.37
ev7D2jo5OUDeHf0dWoWlsQ,4.29
nooJP5h3eeNyT8tcKaeHhw,3.56
4ISG7_E0jmpjIZlBBtZnQQ,3.21
NdytAQjOvVt1Ro8-Z99ngw,3.86
DYPvo7JQhl2-qT2OpshyTA,2.87
9zuPDV5lge3dBTtYOHYvJQ,3.69
BgY9LwHmY8BO_lPI3pNRFQ,3.61
GTkZ-E3Fpu4YNGLeA3JJjQ,3.5
hbe9w7UB6hvEWzbDQHYyDw,3.5
-FkQza9zDG0ugRSM4FLbHQ,3.57
Mr5wQBD0eO3Q-pJupyXGmQ,3.9
Qqwvsoo5DtV9-y859FElNQ,4.29
FxxYCRPcpd__yhRRmmtyMQ,3.47
zwZytzNIayFoQVEG8Xcvxw,4.25
0ouMuScWJ3GuNtWEmmsziw,4.32
cTeWfsM-BLjmOHjhq3CoaQ,3.93
hVnHDo3ZZiTXQV9n047uyg,3.94
LY9Q6sc4DtZ9ENNBv691rg,3.88
M-j04kcOanazSntBzoD3ng,3.46
eq2hUuDLHkg7wuWhcJ5Jlg,3.91
LZ1ZdzWoyXfQewx3amtkuA,3.64
1uhipArheEVbwWyoAbKAGg,3.66
HjhR3u17OjxD4s8t3toTfg,3.81
S_S06oA6xGAPr-HC1kLVlQ,4.79
6YSEVmmTwwfRtif1Dk4z5Q,3.86
D4-0xGve18qMPnWQgMTbyQ,4.18
BeC9T1PMdGwZ512_gKaUxg,3.76
7Pyi-M7MfO3R2PHTuVY0TA,4.15
Ztobt8t-diOtjff32bno7g,4.19
9PiM3lRzswoAe3qV6wtqJg,4.5
I4GAIZhlwLkGXa9PdQ18rA,3.85
S5hUJTLbnCxidsR5IRsKzQ,3.86
c_cY6fb5nbQbZVhVdSNv7Q,4.0
81oMXHvg9mmD1uLWLiR8kg,4.0
on91ZE-U_IVRibX_dM6IQQ,3.57
yWx48PCuaK967jG_UdGxtQ,3.18
HGZJv5wStNj-Q__SWrrDwQ,1.25
S3bvMOL50vgS_8-TtlGi4w,3.85
OxPJqrIpixmPlxyEyOwKzg,3.36
jjmVBDP7zHwysuYNVwavpw,4.2
PuvVkwHXoJQgFhTjYA5Qug,3.73
1dBSo9Ko5is2X51zgb-YcA,4.44
Br9mpMhkVunsp8Un5GpYWA,3.89
W5fdWpuyWBhfOsd0C_qq6g,3.03
2h0A-NirfNl2p2SquFWYHQ,4.13
Sjp6EYsqzdlTvymER6wBfg,3.68
zGnNbnu-PSLzlQTjF_Dxhg,5.0
HFe4NZuq-6kOUOhst6KjtQ,3.26
U5TnaAf__Bn1wbe44T4c_g,3.92
r-Won07YVdp6iyOGhQPl3A,4.0
Y7KS04okqSFAbg1NyImHkQ,4.3
YK-g0g4HbI6uVegt2ac8xA,3.79
nGYaT5sAuqKkd48dqX_2Kw,3.61
vHoKL-4FCgGSfDrPr43Opw,3.82
rszuPsjf9vOpcqL_t2-L2g,3.64
XHgeUEDhZeGyMepUB4ANLQ,3.15
M6CLKKcHgV-Z6wgYCbmgiQ,4.33
oVWlHAwQBOqP0TuK6cifIg,3.14
F8w_OD4gtXrqBffQmOurXw,3.08
eeEj90eJiwYMLJfPW9kdxg,3.62
VD101SO18FEaE0vM7x4iEQ,4.0
hjJPKQ1Ah91h3fVbc8GsOg,3.99
EtRqkcj-ckGrJCazrdzR_g,3.59
k7gP5z86RNFQuYAOTDAjXg,4.5
zsBmBMbZhPuWKueEyKoI1Q,4.13
6rkICkKa9RlOMy-L8g05fw,3.15
n1fuSDbWqiSG3_JEuRhDog,4.17
moEOEgj21Y01onne1PhSBA,3.75
rSBYu1pV5AF4WGJUWIdjnQ,4.03
WNCNmynlYmIkz2VeTlfVRw,3.51
DZ16UuL_rPZ9FeH_7M4V7g,3.44
2_HfgANoSydelB2FSExqWw,4.0
xduo1Sh5ODv8yrmAA4janA,3.0
QgJ_ZCD4K_EXwiI1Jo97UQ,3.94
L3nyH2yeJRNahm0xepL1yQ,3.32
tE6VVy1iAKjkvdP-QxjMxg,3.5
k0-S9vOCLquje8TMKmjVDQ,3.31
hDANOMKLeEqwzytjxAuZWg,4.02
-xSgO52sdzP1ZuzjHB--3A,3.0
snK49gWJBJHk7Of68aEbZg,3.9
kUKH7Mbah6TVgV_9LEnH0g,3.33
78Ed1ndOak2kmzljulPfBg,3.53
zmkIqFY8nlB8ZW2AQ6qXiQ,3.72
_kIJcnfJKdo_NwxN0dxZlQ,4.42
c9sQbD7sxuAh_P_g0SalJg,4.03
wW8lHqh4bxBqExx5egbCBA,3.81
1lSFhUewKa22FwhXuVgFdw,3.97
ZoiKCnVfSQOAGvRIg_Ykaw,3.57
M6kAQ2anG2c8-fcoHEC_1A,3.93
0jH_IgWvWgjyKmrQDN3Tmg,3.17
Wd79xttTkXmaBLSOkwwDIQ,3.42
IRmMB2M_6sIKNfluNLLanA,3.6
GNlv9XPhj6P8Fk8Z0cnBrw,4.8
4gIi4L7e870qFbnRemaoBA,4.16
NRyeLXHmMjJEOraT547dmg,4.67
_EfzVg1nt_dWCYgpcgn9BQ,4.0
Vdo-igLES0OVEqiOyiQMeQ,2.56
jwqUwErUOGxtqBKadZDOcQ,4.22
eJxjxSPr5qmABcID1sKW7Q,3.76
AThBZMaMeY4-GEwU6fav-g,3.31
8ZchNx1nHZMXe1WpVTbDcw,3.67
n_f4k-E4GcO5DqFW8vVJmQ,4.33
VURvHke7yvGL673wgcp9nA,2.98
l32_Qnelh1c-nuTU9VgOlA,2.54
g57Q1gXyenKrrO3jqWM0WQ,3.17
pIGfc7gJ1UHjzXXfr8dNuw,3.57
Akwr-Kqif-NylJ3-EUlnWQ,3.77
3jSt1xaEdTKQtxbYVy7aZQ,3.0
7UhBV3q1JQLV3XC5OjmRNQ,3.67
S4jPvmZU45O5bDaCzSrfxw,3.95
G7DKYB_bB4B9LwAlIeWsLQ,4.0
67S_uPslx5xlAcjXIFP3AQ,5.0
-OMlS6yWkYjVldNhC31wYg,3.69
h3TnHCqFga0VgPO390PjKA,4.36
4xw2k2iAEGumGPYlvGlp5Q,4.31
xJ8x9o-IUXR74pSEs5Pdow,3.6
7i14F52gOUBqlRudUCwPsA,3.4
K-kjPGv-6udTh9dUpb7YJw,3.95
wkPg_QWNOSmKKmZY1gOgwA,2.71
BMEm3AVH1Dkg39ggzEQvqg,3.68
BBNiPq9HWuPAnylOfIo_qQ,3.7
OAqfY1MqzMV7jbn_WkS9ag,3.91
9wl224U7ZQrNggpWVsiLTg,4.25
uTyIIbOvXH_XZw7OEiTiNg,3.74
TocDkq1UljoZ9_Q0cR-3eQ,4.05
o9qVoftkxrFwC6W5PImouw,4.02
7KS3KW9TdHiKi4aW53e36g,3.41
DDad5K6GNA0sXB7N1OB6wg,3.93
Rt9fD4mPsz4o3Octv97oMw,4.25
pLCTr-amfxzp3JXli3y9Kg,3.83
or3jzZMx35DGHsq6yoQMtQ,3.53
joFHyQyg2G8LnB9Ne3oBDQ,4.57
AOSAYR_1rFVVGGY1ajEZ3g,3.68
MI_ZFuJ55bRnaarjYzkKRg,4.65
ESb5cHmhe5dc_irM9TJXZg,3.91
jt0M38z-ID2ja3nILJ2bXw,4.2
frEtELnTATd1BOD6Ndh0CQ,3.17
0-DnHbefypwaHjA-fH8wTw,3.57
u4MQp3zX9RolLtNnp9FxoA,4.14
SsHpdQRKCnBquKEoD3sBtw,4.36
nYuHQAmrFvL5B0K9aS4VMQ,3.78
Oq5CYkB4dQE_wmPgHu51bg,4.12
Zpo4Se-YXL2F96fCnc7tWg,4.11
y0StpDYShZqxGZQkTKg2ow,3.92
3BddvFu894h9jHKneItueg,3.51
l3avRJAtL1azZg8Jf-CYRw,3.16
kHUdOyfeb2Z5dOVTcZ7PBg,3.82
L6uz4WwrkfZhxTKz2fBnpg,4.2
SbzANP6hRVwDU5pbtz5ANw,3.78
tRBC8zo48KbWIJn_hEG4mA,3.69
Up75EsxMwvYnHSxUrlDxeA,3.95
HOleI3jz1MLNUJ6cc1x0Pw,3.72
MjMaLeWJSw_CSzNQJXqpjA,3.7
jRtdO03kWbReasB_vBlTsQ,3.81
IcIV2t78tbDehsPUsz2TGQ,3.64
KzFTp00JdzuggUHaRn_uzQ,4.2
bUy80XymVAeKV9_QR0y8ug,3.95
1jJ__X80nkTrsdaf7e-4Dg,3.72
WavzQE_0yoy05hF-637EoA,3.72
yrXCDuHsWLt14ql-aLOCYg,4.44
s7Tm9oYWqRlBm5ex2OQ1nw,2.97
puGzwne0ytT_m0N7SLvRYA,4.0
ixgYqRHucl21_3-qtPcVoA,4.03
SnbTDuEJZ3bvarb2L0Ykrw,3.78
sMgt2JAQ85nz59Woe0IAtw,3.95
G3Bh03r_uWYf9aWPePn1vg,4.43
hGxsYwRMYOAgwJAfOnHEAw,4.14
DQH4koh0EVZLDrre5PLDJg,3.45
-EFuxDYchSSVkb4Q9Iivpg,3.83
W2Pem2fq1FW34E9I5deXcQ,4.5
F9T6m1YdRFreyKDufcyoOQ,4.03
4Ljy3d6c_rzBNiqgWioppQ,4.09
cxjA6x7MQ7c0EbKu_8YLlg,3.5
pV89mJLFYlT-B5oQSDDQmw,3.78
Zm2k6dJtqKDz3pZ70SwohA,4.42
ayKSWc7b1n75cPDNzjp9Aw,4.0
eBFXojgTo2SWLtzv7jJlxQ,4.14
XHhvOeDw9PmQyBRpl0lFcw,4.14
SzrCBphy0xwRngM2xCO_mQ,4.5
iEZfMGszjIV7NHNhk1pRRA,3.75
nKGDcdQ8SF-frJHuj77Uew,3.17
atqpfEWIjCjjcLvJBBgXEg,3.63
60i9h-gPKH1f0YC_bZXDhg,3.88
uBp2Jmip2qXQ0iWHUDY9sQ,3.74
K9dSPbFhxbLPNZBTp7uOMg,3.9
8UPHl27DvikJzTh61qjHVQ,4.14
bj9wNeEIdJulpKiVYZhYdw,3.4
mpbnZq1Gj-WT_Xh0TZvH1w,4.29
WwbJ9F8CqdzdLwgrllGIeg,3.61
kDJ9PRlYugp5RIa9ontPZg,3.98
vLNr_NxiA1B-hk7f-Is3dQ,4.0
1SLgU2qwQgU5fQLcQwpIDQ,3.37
z4Z-wIgEcnOjeHclfF0yXA,3.88
sWKmS2_rUhtrBAlvHYJUQg,3.92
U_fAIe7CUaGMejwSdNvMgw,4.37
a4LJJU26cSE7k12-0sEw0Q,3.51
mLfjeWUJnNiqHEye3I6qug,3.91
U57ebl1SZYVYJqe9Ksvnkw,4.35
C4qz9On5-KPmquXtQtMCdA,4.83
usQTOj7LQ9v0Fl98gRa3Iw,3.67
KFftdw5Pfa1-Ne4ln8L_KQ,3.67
npOswlvP8Rz82d-dfy53-g,3.95
ToeeYjLBf95ep-buFiyMLg,4.33
b9XdpPlzZCVimhNb0z8CNA,4.04
hieVDOyVxxitOi1v2m1lhw,3.48
5mvaOdV7nyKCP2Xct7yDTw,3.83
100Df1wcVrl9rJgB7EG6xw,3.55
cXO6Prlk8VSwOeBAWJkYbw,3.32
tiyg_cQaPdUuSG95Xpi_sA,3.5
TN6ZI_NNUw8OAvODoxTKCg,4.06
rSbqoimVUWPEbNSGwyjI-Q,3.61
TGVtVYup344Y9fGy3QrjsA,4.79
MY2r94nlkRPLKC149-t5OQ,2.95
fy64dq8l5iHNZ3cpYShjng,3.32
fqpgzgVVnxlkSoAY2aS4Dw,4.12
RwuMQEsnpT1hAoFPwTws7A,4.66
Ckvp43xknAUJ5kAk2D4nDg,3.73
l_gYq9wGIHzihot_AmqeIQ,3.89
ij6nIZVPwCvTXNUf6xf3tg,4.35
p5JVI5TkPtUtKq2_J3DrDA,3.92
_mo4LtybzPjvg-i6meN-tw,3.7
sFOh_8x3Vv2KgyuTlFHNeA,3.56
vn3lecMsL3kXVe-7hg3gLg,4.01
lswvZjM9RUNmmJAwQlAJ0w,3.6
SwFSx58vRK0WlWyMW5xwoA,2.77
IGkoathSlJmIOBDGo9vUZg,3.78
LxgdyviWGbgvVp_L0DABpg,4.16
qcofqWgRQtXRtoDlcBp3IA,4.4
D2hnn1UxqUD7U5dTEhM_4g,3.37
IpCH-jaFA-1YgCdi6YmnFg,3.55
osSdtC3M6IzdQkHIClx6Rg,3.14
vPl334misAuMKl8g_b2QVA,4.71
WsA0NtJVRIqlmBXsYAhgWA,3.61
zAfxIeb4aX5XJA1g5C_1uQ,3.79
j-kShDJgp5acGhqJAkJHnA,3.81
IqrtFpXjwUhJNd28LUOOeg,4.29
raMSkwLdZ-kFea1fTY_-Ew,3.87
yJihBbisa05Yz6FUQtzE1w,3.07
dV_dYmUZzgzc4CjvPUchow,3.39
JNfR68wvXOCt0Toy9OBfDg,2.83
pOim-Tccfc6Aw0ynGdPmYw,3.89
9LsuckL8ydgjI-1vN8ioyQ,3.61
ACCUr3Ydw5XyPCmoIEdnpw,3.93
iy-lnju3UY_eap5oztdkhg,3.9
3WyS2BN2QWzUi-VuPk8kFA,4.29
7cR92zkDv4W3kqzii6axvg,3.45
R69oePjuaeq9jwlI7cqCPQ,5.0
BzCbKSh1Cv2FmHCTsZT34Q,4.0
vuUddBhwlrVijAAFvK5UTg,4.23
PDtehSZUrvIShkZlhnUarg,2.86
uq1y9VRH9vOy91x8f4TQSg,3.74
TH6_NDQIcEZkM2U6Br58CQ,5.0
bgewCb7PvLUR1yqcHI4cEA,3.83
Ypz7hxOCnrg8Y8vxHJU-sQ,3.95
wq6y3RaK0EAyknlsNzJI-w,3.25
MUliKalnxiHIBmeRB5d-oQ,3.71
ziXqSKECE6qefdomOKvIdA,3.59
CQ30Xw9sQXpoQ8j-x_Hygg,5.0
IMmHPJ8IDra4QYyyACatfA,3.35
m7j9e53ycZxjWYBD7rZVng,3.76
ydmF2KEbtiY0sSdppdyVTg,3.93
eEaQW2LUVRlCCKMKVy4Vkw,3.15
EGiAtB4sgZhDdYpRkDneig,4.15
yLFeXMge7WF9RmGvROZOGw,3.67
RL9bXO8nwTq4gM2kU08ieg,2.79
nxVAs0ivaOgupWvj9wJDOw,4.31
kJyR4gT1pfCcNjEY9-YMoQ,3.04
ylF82_BakZ0aGYC-c0l9DA,4.31
nN3Ym_sgqI5EQuC4AIJprA,3.16
pSPEc4o21c5Aoy3htlHSWw,2.88
VDA0DXc0PAq2xGLWQPxaUQ,3.5
LZ86tqJTvDdHHD68oluGQA,3.75
QeW2E8e3rsgzrY9YdRpOOg,4.12
DBGEhqsq7G6UKg75fGfztg,4.17
3BvvoNFdTkzb8cqmxA6W3g,3.72
E7pQvEw9tf_wxIRMWxCtNQ,4.62
K5oJ9aQth_Ltg3Awgjy-wA,3.37
V758b0OO8E1LxuKRrGbNFw,4.49
fn1TYXMG0_sE28xzMTHsAQ,4.1
xY0SP85UvAeoGjneF-gQew,4.0
N1MjSC3c4KEd_jEcr1bNLQ,3.87
tjbp15UbZ0yziMsZEqwabw,3.61
ueo_kh3MeyUOZpK1AcTNZQ,4.0
dL11z3wmNI62uT04ccrTtQ,4.0
-uYfeJs1HNUBRDEBYdv7zQ,2.97
--65q1FpAL_UQtVZ2PTGew,4.16
C6BYesCiITaw_STVT1GI6g,3.67
U2f4haSnEtcRWvBzb4k30w,2.91
LZrS2Uwzjo5E_qAm-P6TlQ,4.2
yL9YKQivaqxQClwMxhPajg,3.41
DjMYfLoL9KsTIcvOMxwkhg,3.29
TIZvHaRMMph2udRx3yJ5dw,5.0
w9r2bDWydh3HSwZBTlHOFQ,5.0
z1DvpvSuT2H07tqbfxWPpA,4.0
9qCPmT6ovJjxL4tJB4ANCg,3.73
gsyguOgT2Dnjw-OYw14XDw,3.66
hYvEu8Fl0seOqxoYcXoEyA,3.67
d66FhQQZzFDKxklh6t63RA,3.4
GlVIC6S7gs2MgWp89oDu7Q,3.79
5xC7ftIdx1jVEW8opSfJXQ,4.03
EJbwH4h_YP3YpimFgrIVdg,3.67
3GU_u2p1OypHTGgUEcSxYg,3.29
ZyCq_wg5PW3uuro1JM1YLw,3.11
KbCDV2hjwgh2rQT2aMwjAA,4.59
5oLJL8ImlYLkFm05J6oKqQ,3.79
uuqb4Hw78ftwK3wXomRslg,4.83
l53FUDHRHLg7BQ89KgAtxQ,3.82
Aqx50LvHHE90sHtp-O2olg,3.26
_N-DeS909pOyryxC0mMAjw,3.81
rO2onIJ7jEb7DADuiknNJQ,3.64
u5WxYdg6CIv_3UJTwS1C3w,4.25
G72bs75BqgW9NAVv00ADTw,3.84
xlhOYJz88hseqBnygHVz6g,3.13
nRHT5CAgDGe_s8Ol_FAJ3A,3.98
Wg7_CNPjldO2QKzL9oAeiQ,2.0
KJ46NF0zN0lMDg6fhWrPdA,3.5
sALB8-F04S9VcZMF_GkGUA,3.65
KxURgmiUbuHhAtdEJu4bvw,4.14
nYfpquFWxQC342RenTI3rA,3.86
tTY9F0I9Cjo_25oKYCBS3Q,3.47
3NwAgpjNFe7SnYgVuGElWg,3.84
IjrDzgB1D0p0FIs49WYL1w,4.25
YVoYGVIlQpsxmiAFBiltgA,3.86
8cJ-n5BEb1LAR0qFM9zrxg,3.63
xHIyBT2iOb4d0ytVMfAzTg,3.57
sEWeeq41k4ohBz4jS_iGRw,3.77
NOyfIyoqSdFFLJC4G3Yngg,3.29
dOlOuHlY43omhi88wa1Mzg,3.75
zCBtnQGfDsAXGNY_OIXn5A,4.2
RwVaQNP1Ag-Seu3U9quGAg,4.17
Df_GDATOdDbdS9Z0aEHK_w,3.84
CZ2c7VGCAFYuJdhwsqRChQ,4.0
uQmofP2QLJ0osvFiwWNkfg,3.97
MOpFJnB5HyXdXW1sMwz7Bg,3.85
esomNneHvsEv91MmraM5ug,3.6
78skAk31Kt3N9KQX44k59A,2.8
1OTnkDxkVFjdOpePMiXv6A,3.89
KICFDhBX25ruK_iW6gLgTA,3.63
xZbN7LQlbEcdh37ExKmn8Q,3.36
BuwjlU6D4kcs1aGo7wSM4Q,3.6
RhMjgfO4B2V3nO5gYvtZ-A,4.0
97qw6Mruv6ggKbkHAG0TlA,3.0
7f-Qyv-7x_AJ9a6dj9osIQ,4.06
lHZsCZ4KZsxeiixQ1lBxLA,3.83
gcu-ZKFYQxDxgQhe2PM6xw,4.26
oDnAAifb_2zj3Cekc5Kbeg,3.54
_9WdLStCJUKWiQhyCzckoA,4.07
IoJYaZK-Ipmfx0JNmiF3KQ,4.0
mCKlyjSTQUSrPS22_CnmUw,4.0
GUrPmYze-oF6NFDJusiSNw,3.82
V7pppn-r6tL_Yb2_msQQFw,3.96
5RtJforBznyxFKQpdvBZDQ,4.0
bKKVpwp1ERdWUl4lqc8ChA,3.76
U8ayzBXrBzgjdrCYOzwNOg,4.46
9bP3urjM__IP5csFh9ZsuQ,3.3
WZCAwPXauKtNoAhHK2-pCA,3.37
m011mMHSFa3nXSk5anCVKA,2.86
Bwo_j9OGpZN60T5HxKOTeA,3.48
qlbiTIcn1-hDeHhEF1PLyg,3.37
jhTjnfxsSVBjT1Fwbzwpcw,4.2
EjCDToCUiIf1_ZtqG6yyyw,4.11
lczynWhyTkScGKj1VWVh9A,3.5
dqeFcKq2L2wiOg9LFT9-UA,4.05
U7GNk26qjfKtVYC4vsJzKw,2.78
bEJMn_jbXWHTmDPzPOflRw,3.53
DwU7KVfebA70AlVtX0iOWw,4.18
yCQzLCRSA72SDe-LtrBRCg,4.68
CUqtEmjVwslAXXcephcFnw,3.24
XTFE2ERq7YvaqGUgQYzVNA,3.48
XiV696C2EHJ2kLwr5miHlw,4.58
YLE6GoJ61fb0QBF7JTkaJg,3.71
IIed4GFtBNbn7HWPy-4VLg,3.35
n9Zg0jlOGtxfIrvoPm6Hhw,3.99
ayklaXnWz-5lRMqm8SR-Yg,2.59
Ea0QvMihI7UmWBrYUy0sYw,3.47
SvaIOy69Fb9Yz0rOE8Svsw,4.33
bG-r4zndr1xuon0pHbUrcg,4.0
8T0evnkvRaTomru7ghPGeg,3.02
lGBfVZOZdksIO8zETW0y8g,4.29
SW9HDtbfxDGgGn_rkgCNkg,4.25
dnfdifcm5krZlJWlZtdu7g,3.89
Yz7i36gFLsuFSPSCqBBp8g,3.74
QDFF87mFaSCr3AUAumKdmQ,3.96
O9YieWCcsHOLBWwv5w5iNA,4.0
IO3AsR6cdMto7VCwfPzf2w,3.63
ugjiHgZK3i2VNyDDBZCuKg,3.33
D2NKLp8yrK-49RKslrOnpw,3.79
FQHilR8gMj7do04eiV-x2w,4.0
btfv0CFoDX6vJCPms6-Irg,4.13
1xvQJ9N8Or8m6Dl74txFNQ,3.27
iwLGuUgpEpVh8R7RgSmh-Q,4.6
HP_xZYNC5XK-VyNrnHbtRQ,3.52
4mZHb-V_ik8YWrroeJHq0g,3.62
A9PlVYW_PobkDF6ZskCpXQ,3.1
vsXP832M0kOxKpfduD7dWw,3.83
HCBo0Kvfm9yXErR-YuqVGA,3.72
ITQ8anChFzFdw058JYydWg,3.41
T-SKJo372IHScyKTlgpJhA,4.56
Nz6Qv5ZCkFsSWW0OMNhAMQ,3.0
gvfZIrC89iWdHd7uuCC8OA,2.25
hRy9-3-MT2_g9EBUU_Is_A,3.72
lMcyrX1R3Sl-Wq9O2v4WVg,4.0
Gth9uH56jrChwgyGgQhTqA,4.0
NnIv0HrMX7XAmFHKsqSnVw,3.97
3yJlrc2QIHpkyCRV-OsbGQ,4.15
svMz9c-qqM9_vSMpj8q2BA,4.08
zsTLjlG6MLlQtWJrKal1xQ,4.11
-txH2zJSBZQHO6RWvoWXuQ,4.05
5a1aiH93zMDh6xkcDI4ueQ,3.42
CWYHXKPXqP4KgY3TyI54lg,4.13
1R-XppdHQ0TtGq6E8oQVZA,4.56
nlUIgx4bf0Apgl6aD1xO2w,4.08
nJ5UZqX_WrP0DAvZ_aE9IA,3.07
JDJipU4X-8iS35YQ5i2AKg,4.5
eGAfB-vUSAMp2UFgpDwPjw,3.27
eaWc_UCwBl_IZjo8MnmzvQ,3.53
8p4at4zdzCpueAmSBaorZA,3.83
QrOSr8bzAjpIgyNftDLUBg,3.18
HSKV9gfn9ZkeYRlPWZvAOQ,4.09
xiJtOY01ROyp7S0UElOmpQ,3.56
Po0jFsNCX40-SgJzx8gNZg,5.0
effnaKcRM6AdtUrw_J6puw,3.08
lXlt790HRJX7fIsq7aTN-Q,2.7
DIhxgLhiWH9nBqnnSBDeFQ,3.0
6fboUxwhAsUMx1F9yCzlMQ,3.79
oCDn4bcj_IYUaNDb8lCdpA,3.8
zRHQTrKF7eeAOfQxamq6mA,4.12
3EyjZYtNuzA0YY-2sDULoQ,3.0
ELFrdF9n7Av2s9fjG3jzpg,3.97
cZEVW_x0NKI69Xm55tknBg,3.64
SlRP0wlWohWkMgnVF2D2hA,4.33
Y6s9M0Cuf2j4HFsocX0GRg,3.83
R0KPnPBC7bimj2uyLXYeDg,4.3
jU8WrrgXggGX2xHglsPjxA,3.56
i2TRnWtvxxwJuynRKrw35Q,3.63
kJfFhQASj0_KRkWXE1WQXQ,4.08
LP0bl3GKToABt3lnpSvA2w,3.68
YHoiq8jTSzjiALoSIoi0jg,4.0
xueMNSdcJuP_C-jhUygpLA,2.79
QQQ78Yom7_8m4jjWCPG6Cw,4.0
B2-AC4_ewUVHI3BPdDkieg,4.39
awNfKzVWjrhxCmRap-DeaQ,4.33
hVMdwvAgxH_WYWYYsL4kkQ,3.62
5_D5ex4jIdgKnTRHfLCVFg,3.83
l81ILmOhky5bG7o4r3rkhQ,3.8
fYayRBmQjB8f5eyH1WR-1w,3.56
x0r-IamYgKMgF3v7tJ_PTg,3.38
DQ0zwWE3QGId_Tj0tk31XQ,3.9
_1BMyBcMBjkrupgzLrJYxg,3.89
b60JsTGYbVqUGYbI81aOsw,3.31
B4wLeibRXt7u8Mjet5kkog,4.89
OZU7_5IsG2giCHTj_hwVjQ,4.12
ENJpS6i-s9hWiQg9ZGwevQ,3.89
34TwcChxsSVJvgNKdo2gFg,4.0
cSyqeP4wbFy6aekQDlHI9w,3.97
rfqg9hQVINyYAdcAABhpzA,3.59
NXCG7EJEY76LiVqhTz64og,3.69
X-AOcuGqWACSwAusrjYIpQ,4.0
slAdwQk0i984K7lxzsWQGw,3.73
w4suxL1zlxsihVlugZZDAQ,3.84
FHSaw0dCn2EmtTaupCk-uw,4.14
mfvezpz6ohS0NQk3DZdvqQ,3.71
C-WIurHDHX7gcnvMMxe0UA,4.43
lNYmqV_CMapcbucxD19_tw,3.6
r68j756bEp2oF7Vs36J8Xg,3.8
0fOPM1H03gF5EJooYvkL1Q,4.14
gW-ukHucTfVCnFCKKxPJzw,3.91
FbdB9KXyuvT8rC_zmqRSuQ,3.86
BVZ7iTR_nI3jzdQidze1UQ,3.63
TLj3XaclA7V4ldJ5yNP-9Q,3.39
uvxM4Q5d8yKGf8VH37wr1Q,3.47
vUn91MER1jV-jT4crd3pOg,3.52
fiElz5yl1mSkse--Jhameg,4.0
1GY4wZhI1pvTTYeJFcjsYA,5.0
kG8jkVFgOAOq6Ht6RvAjEQ,3.48
jopndPrv-H5KW2CfScnw9A,3.56
s2TTCqBt93zlnzns5Z0TBg,4.28
UOqjacdOnwkLSyhhUceN0Q,3.4
Q6D3W-1jaZhui6yiHSl4Cw,3.93
CEkNGnUQWGhQN60XD4E4Iw,3.72
xWvlVMWGtqgtXvZFuh7LwA,3.56
s3I0DHItRqaGojUHwpGPXg,3.57
DfJ8B8T1fgNA6_ZT-aeUlQ,3.79
fJGWSgGsvb6leJzOuE2O3Q,3.91
SlCfUUr1Pa7CzzSxbMH1pw,4.23
hd3BHvFC0FFYj_Qh8d43MA,4.6
hebXGQk5ggZSwTlUoEcTWQ,4.15
OzbDvzLS7FP42GV4QPTUGA,4.33
